   0.31250  10   0   0 -0.5827621840702712E+001 -0.5827621840702710E+001  0.2877737424374312E+002
#  0.287774E+002   0.649409E-015   0.649409E-015
#  0.649409E-015  -0.582762E+001  -0.173881E-015
#  0.649409E-015  -0.173881E-015  -0.582762E+001
   0.34375  11   0   0 -0.5733869598286590E+001 -0.5733869598286587E+001  0.2619642489064981E+002
#  0.261964E+002   0.660064E-015   0.660064E-015
#  0.660064E-015  -0.573387E+001  -0.411340E-015
#  0.660064E-015  -0.411340E-015  -0.573387E+001
   0.37500  12   0   0 -0.5651453533571580E+001 -0.5651453533571580E+001  0.2393372078839660E+002
#  0.239337E+002   0.638115E-015   0.638115E-015
#  0.638115E-015  -0.565145E+001  -0.416880E-015
#  0.638115E-015  -0.416880E-015  -0.565145E+001
   0.40625  13   0   0 -0.5583648121022531E+001 -0.5583648121022529E+001  0.2207643092932861E+002
#  0.220764E+002   0.535910E-015   0.535910E-015
#  0.535910E-015  -0.558365E+001  -0.457671E-015
#  0.535910E-015  -0.457671E-015  -0.558365E+001
   0.43750  14   0   0 -0.5533166032501178E+001 -0.5533166032501176E+001  0.2069614381691525E+002
#  0.206961E+002   0.367526E-015   0.367526E-015
#  0.367526E-015  -0.553317E+001  -0.493434E-015
#  0.367526E-015  -0.493434E-015  -0.553317E+001
   0.46875  15   0   0 -0.5502037737868104E+001 -0.5502037737868093E+001  0.1984608405380722E+002
#  0.198461E+002   0.255631E-015   0.255631E-015
#  0.255631E-015  -0.550204E+001   0.188150E-015
#  0.255631E-015   0.188150E-015  -0.550204E+001
   0.50000  16   0   0 -0.5491519846403376E+001 -0.5491519846403373E+001  0.1955903969212613E+002
#  0.195590E+002   0.964510E-016   0.964510E-016
#  0.964510E-016  -0.549152E+001  -0.110232E-014
#  0.964510E-016  -0.110232E-014  -0.549152E+001
   0.53125  16   1   0 -0.5486279469374029E+001 -0.5209656890995180E+001  0.1949090730427703E+002
#  0.194909E+002   0.384107E-010   0.936580E-016
#  0.384107E-010  -0.520966E+001  -0.101674E-014
#  0.936580E-016  -0.101674E-014  -0.548628E+001
   0.56250  16   2   0 -0.5470751053259750E+001 -0.4382246233447505E+001  0.1929646613374906E+002
#  0.192965E+002   0.565629E-010   0.851091E-016
#  0.565629E-010  -0.438225E+001  -0.818822E-015
#  0.851091E-016  -0.818822E-015  -0.547075E+001
   0.59375  16   3   0 -0.5445506665239819E+001 -0.3061639526051687E+001  0.1900371848921040E+002
#  0.190037E+002   0.509527E-010   0.717865E-016
#  0.509527E-010  -0.306164E+001  -0.517771E-015
#  0.717865E-016  -0.517771E-015  -0.544551E+001
   0.62500  16   4   0 -0.5411479520024503E+001 -0.1328277419724440E+001  0.1865356806120556E+002
#  0.186536E+002   0.332909E-010   0.577263E-016
#  0.332909E-010  -0.132828E+001  -0.302740E-015
#  0.577263E-016  -0.302740E-015  -0.541148E+001
   0.65625  16   5   0 -0.5369933764971044E+001  0.7180529378169882E+000  0.1829260245160420E+002
#  0.182926E+002   0.166482E-010   0.483734E-016
#  0.166482E-010   0.718053E+000   0.733564E-016
#  0.483734E-016   0.733564E-016  -0.536993E+001
   0.68750  16   6   0 -0.5322422546673895E+001  0.2967978316402899E+001  0.1796538383501858E+002
#  0.179654E+002   0.652924E-011   0.460119E-016
#  0.652924E-011   0.296798E+001   0.284734E-015
#  0.460119E-016   0.284734E-015  -0.532242E+001
   0.71875  16   7   0 -0.5270734950084943E+001  0.5311732232536004E+001  0.1770775340784759E+002
#  0.177078E+002   0.203507E-011   0.471321E-016
#  0.203507E-011   0.531173E+001   0.426226E-015
#  0.471321E-016   0.426226E-015  -0.527073E+001
   0.75000  16   8   0 -0.5216832836088965E+001  0.7646602744752038E+001  0.1754223009133565E+002
#  0.175422E+002   0.508132E-012   0.446111E-016
#  0.508132E-012   0.764660E+001   0.489314E-015
#  0.446111E-016   0.489314E-015  -0.521683E+001
   0.78125  16   9   0 -0.5162779154650792E+001  0.9882028149563912E+001  0.1747600031478242E+002
#  0.174760E+002   0.102031E-012   0.323927E-016
#  0.102031E-012   0.988203E+001   0.483959E-015
#  0.323927E-016   0.483959E-015  -0.516278E+001
   0.81250  16  10   0 -0.5110659930304319E+001  0.1194227797425624E+002  0.1750144235128060E+002
#  0.175014E+002   0.163668E-013   0.875424E-017
#  0.163668E-013   0.119423E+002   0.414333E-015
#  0.875424E-017   0.414333E-015  -0.511066E+001
   0.84375  16  11   0 -0.5062502734864768E+001  0.1376705473379751E+002  0.1759872637655863E+002
#  0.175987E+002   0.196022E-014  -0.231552E-016
