   1.30936   9   9   0 -0.2191590704248638E+002 -0.1689167869062476E+001  0.2360507491154885E+002
#  0.109580E+002   0.126471E+002   0.375319E-015
#  0.126471E+002   0.109580E+002   0.379268E-015
#  0.375319E-015   0.379268E-015  -0.219159E+002
   1.35355   8   8   0 -0.2141686715965371E+002 -0.4700819709765999E+001  0.2611768686941971E+002
#  0.107084E+002   0.154093E+002   0.101011E-014
#  0.154093E+002   0.107084E+002   0.673363E-015
#  0.101011E-014   0.673363E-015  -0.214169E+002
   1.39775   7   7   0 -0.2090501477348771E+002 -0.7611645128540950E+001  0.2851665990202868E+002
#  0.104525E+002   0.180642E+002   0.735178E-015
#  0.180642E+002   0.104525E+002   0.851763E-015
#  0.735178E-015   0.851763E-015  -0.209050E+002
   1.44194   6   6   0 -0.2040062472550115E+002 -0.1032004151449861E+002  0.3072066623999978E+002
#  0.102003E+002   0.205204E+002   0.630722E-015
#  0.205204E+002   0.102003E+002   0.573282E-015
#  0.630722E-015   0.573282E-015  -0.204006E+002
   1.48614   5   5   0 -0.1992507216527408E+002 -0.1274103027377030E+002  0.3266610243904441E+002
#  0.996254E+001   0.227036E+002   0.399744E-015
#  0.227036E+002   0.996254E+001   0.669271E-015
#  0.399744E-015   0.669271E-015  -0.199251E+002
   1.53033   4   4   0 -0.1949972463749139E+002 -0.1480624252319297E+002  0.3430596716068438E+002
#  0.974986E+001   0.245561E+002   0.911224E-016
#  0.245561E+002   0.974986E+001  -0.298442E-015
#  0.911224E-016  -0.298442E-015  -0.194997E+002
   1.57452   3   3   0 -0.1914465418985134E+002 -0.1646288293565832E+002  0.3560753712550969E+002
#  0.957233E+001   0.260352E+002  -0.335368E-015
#  0.260352E+002   0.957233E+001  -0.447970E-015
# -0.335368E-015  -0.447970E-015  -0.191447E+002
   1.61872   2   2   0 -0.1887728825835701E+002 -0.1767220070263426E+002  0.3654948896099129E+002
#  0.943864E+001   0.271108E+002  -0.765501E-015
#  0.271108E+002   0.943864E+001  -0.685702E-015
# -0.765501E-015  -0.685702E-015  -0.188773E+002
   1.66291   1   1   0 -0.1871114246094168E+002 -0.1840789679529544E+002  0.3711903925623712E+002
#  0.935557E+001   0.277635E+002  -0.111767E-014
#  0.277635E+002   0.935557E+001  -0.500105E-015
# -0.111767E-014  -0.500105E-015  -0.187111E+002
   1.70711   0   0   0 -0.1865478241737814E+002 -0.1865478241737813E+002 -0.1865478241737813E+002
