#  0.309583E+002   0.418035E-015   0.322026E-015
#  0.418035E-015  -0.136442E+002  -0.908248E-016
#  0.322026E-015  -0.908248E-016  -0.173141E+002
   0.62500  32   8   0 -0.1737360275031467E+002 -0.1266320986420587E+002  0.3003681261452054E+002
#  0.300368E+002   0.422085E-015   0.309197E-015
#  0.422085E-015  -0.126632E+002  -0.252500E-015
#  0.309197E-015  -0.252500E-015  -0.173736E+002
   0.64063  32   9   0 -0.1743923251207244E+002 -0.1159342442378229E+002  0.2903265693585474E+002
#  0.290327E+002   0.421798E-015   0.306950E-015
#  0.421798E-015  -0.115934E+002  -0.245077E-015
#  0.306950E-015  -0.245077E-015  -0.174392E+002
   0.65625  32  10   0 -0.1751035770909711E+002 -0.1044839029535429E+002  0.2795874800445139E+002
#  0.279587E+002   0.413394E-015   0.316152E-015
#  0.413394E-015  -0.104484E+002  -0.329767E-015
#  0.316152E-015  -0.329767E-015  -0.175104E+002
   0.67188  32  11   0 -0.1758628909563404E+002 -0.9242089141976688E+001  0.2682837823761073E+002
#  0.268284E+002   0.394624E-015   0.336010E-015
#  0.394624E-015  -0.924209E+001  -0.320205E-015
#  0.336010E-015  -0.320205E-015  -0.175863E+002
   0.68750  32  12   0 -0.1766629147866996E+002 -0.7988711956958923E+001  0.2565500343562889E+002
#  0.256550E+002   0.364791E-015   0.364143E-015
#  0.364791E-015  -0.798871E+001  -0.311814E-015
#  0.364143E-015  -0.311814E-015  -0.176663E+002
   0.70313  32  13   0 -0.1774959094939141E+002 -0.6702428260378999E+001  0.2445201920977041E+002
#  0.244520E+002   0.324111E-015   0.396952E-015
#  0.324111E-015  -0.670243E+001  -0.361876E-015
#  0.396952E-015  -0.361876E-015  -0.177496E+002
   0.71875  32  14   0 -0.1783538246844232E+002 -0.5397181364248153E+001  0.2323256383269047E+002
#  0.232326E+002   0.272894E-015   0.430270E-015
#  0.272894E-015  -0.539718E+001  -0.349475E-015
#  0.430270E-015  -0.349475E-015  -0.178354E+002
   0.73438  32  15   0 -0.1792283772687045E+002 -0.4086512770199792E+001  0.2200935049707024E+002
#  0.220094E+002   0.211193E-015   0.460122E-015
#  0.211193E-015  -0.408651E+001  -0.344697E-015
#  0.460122E-015  -0.344697E-015  -0.179228E+002
   0.75000  32  16   0 -0.1801111320294213E+002 -0.2783416994373644E+001  0.2079453019731577E+002
#  0.207945E+002   0.139242E-015   0.483433E-015
#  0.139242E-015  -0.278342E+001  -0.305837E-015
#  0.483433E-015  -0.305837E-015  -0.180111E+002
   0.76563  32  17   0 -0.1809935833421732E+002 -0.1500226575416080E+001  0.1959958490963339E+002
#  0.195996E+002   0.584396E-016   0.498482E-015
#  0.584396E-016  -0.150023E+001  -0.242227E-015
#  0.498482E-015  -0.242227E-015  -0.180994E+002
   0.78125  32  18   0 -0.1818672372437864E+002 -0.2485257704620043E+000  0.1843524949484065E+002
#  0.184352E+002  -0.279063E-016   0.505044E-015
# -0.279063E-016  -0.248526E+000  -0.201940E-015
#  0.505044E-015  -0.201940E-015  -0.181867E+002
   0.79688  32  19   0 -0.1827236930524870E+002  0.9609094974091482E+000  0.1731145980783955E+002
#  0.173115E+002  -0.114820E-015   0.504210E-015
# -0.114820E-015   0.960909E+000  -0.107957E-015
#  0.504210E-015  -0.107957E-015  -0.182724E+002
   0.81250  32  20   0 -0.1835547237615159E+002  0.2118148515398198E+001  0.1623732386075338E+002
#  0.162373E+002  -0.197055E-015   0.498042E-015
