#  0.328873E-015  -0.289667E+001   0.852099E-015
#  0.328873E-015   0.852099E-015  -0.289667E+001
   0.14063   9   0   0 -0.2861885796625448E+001 -0.2861885796625447E+001  0.4020034437365369E+002
#  0.402003E+002  -0.133541E-015  -0.133541E-015
# -0.133541E-015  -0.286189E+001   0.963141E-015
# -0.133541E-015   0.963141E-015  -0.286189E+001
   0.15625  10   0   0 -0.2824126866686245E+001 -0.2824126866686242E+001  0.3995204323274550E+002
#  0.399520E+002  -0.545023E-017  -0.545023E-017
# -0.545023E-017  -0.282413E+001   0.764445E-015
# -0.545023E-017   0.764445E-015  -0.282413E+001
   0.17188  11   0   0 -0.2783750768449665E+001 -0.2783750768449663E+001  0.3968677936567610E+002
#  0.396868E+002  -0.347975E-015  -0.347975E-015
# -0.347975E-015  -0.278375E+001   0.464729E-015
# -0.347975E-015   0.464729E-015  -0.278375E+001
   0.18750  12   0   0 -0.2741136581888899E+001 -0.2741136581888896E+001  0.3940708788064407E+002
#  0.394071E+002   0.291111E-016   0.291111E-016
#  0.291111E-016  -0.274114E+001   0.764947E-015
#  0.291111E-016   0.764947E-015  -0.274114E+001
   0.20313  13   0   0 -0.2696686170191247E+001 -0.2696686170191245E+001  0.3911564529009608E+002
#  0.391156E+002   0.195923E-015   0.195923E-015
#  0.195923E-015  -0.269669E+001   0.279521E-015
#  0.195923E-015   0.279521E-015  -0.269669E+001
   0.21875  14   0   0 -0.2650820636593061E+001 -0.2650820636593055E+001  0.3881524438844308E+002
#  0.388152E+002  -0.403441E-015  -0.403441E-015
# -0.403441E-015  -0.265082E+001   0.788001E-015
# -0.403441E-015   0.788001E-015  -0.265082E+001
   0.23438  15   0   0 -0.2603976535063728E+001 -0.2603976535063723E+001  0.3850876788820018E+002
#  0.385088E+002  -0.718071E-016  -0.718071E-016
# -0.718071E-016  -0.260398E+001   0.265528E-015
# -0.718071E-016   0.265528E-015  -0.260398E+001
   0.25000  16   0   0 -0.2556601861283451E+001 -0.2556601861283449E+001  0.3819916104835163E+002
#  0.381992E+002  -0.793023E-016  -0.793023E-016
# -0.793023E-016  -0.255660E+001   0.515125E-015
# -0.793023E-016   0.515125E-015  -0.255660E+001
   0.26563  17   0   0 -0.2509151855274702E+001 -0.2509151855274697E+001  0.3788940354404612E+002
#  0.378894E+002  -0.161558E-015  -0.161558E-015
# -0.161558E-015  -0.250915E+001   0.559068E-015
# -0.161558E-015   0.559068E-015  -0.250915E+001
   0.28125  18   0   0 -0.2462084651917684E+001 -0.2462084651917682E+001  0.3758248084014784E+002
#  0.375825E+002  -0.133387E-016  -0.133387E-016
# -0.133387E-016  -0.246208E+001   0.759537E-015
# -0.133387E-016   0.759537E-015  -0.246208E+001
   0.29688  19   0   0 -0.2415856820235995E+001 -0.2415856820235994E+001  0.3728135534232784E+002
#  0.372814E+002  -0.362094E-015  -0.362094E-015
# -0.362094E-015  -0.241586E+001   0.778246E-015
# -0.362094E-015   0.778246E-015  -0.241586E+001
   0.31250  20   0   0 -0.2370918836610276E+001 -0.2370918836610270E+001  0.3698893760792368E+002
#  0.369889E+002  -0.225313E-015  -0.225313E-015
# -0.225313E-015  -0.237092E+001   0.410077E-015
# -0.225313E-015   0.410077E-015  -0.237092E+001
   0.32813  21   0   0 -0.2327710540801670E+001 -0.2327710540801665E+001  0.3670805790439599E+002
#  0.367081E+002   0.303582E-015   0.303582E-015
#  0.303582E-015  -0.232771E+001   0.398833E-015
#  0.303582E-015   0.398833E-015  -0.232771E+001
